trail,overall_rating,comment_title,ratings,comment_text
Tioga Pass,5.0,Take an Extra 20 mile down out of the park,5.0 of 5 bubbles,"This is a GREAT drive, with beautiful view of mountains, valleys, and Half Dome.  If taking the road from the west, it starts off slow but gets better as you head towards the Tioga Pass. Once you reach the pass, you need to continue out of the park for about another 20 miles to the town of Lee Vining, through  Inyo National Forest.  This drive was about 20 miles, dropping from an elevation of 9,945 feet to 6,837 feet.  It was INCREDIBLE!!!!  The town was nothing.  We thought we would stop for some Ice cream, but could not find anything from a convivence store.  But you will LOVE the drive, almost straight down, with the view of mountains, lakes  and the valley.  Don't miss it!"
Tioga Pass,5.0,Scenic but very scary. Would not do it again,3.0 of 5 bubbles,"Oh this pass is scary. Great view but there is a point (direction yosemite to Lee Vining)  where you are just about hanging on the cliff, driving to the edge no barriers no protection no anything. We were driving also with an RV which made it worse. You are at a point looking ahead and you observe the road going abruptly down on the other side of the mountain thinking omg are you going to be there too and oh yes you are."
Tioga Pass,5.0,Grand Sights,4.0 of 5 bubbles,"The east entrance to the park is the lesser-used entrance and a beautiful drive through mountains, meadows, and valleys.  We were fortunate enough to get a day pass, but the line was still very long because it was filled with people that did not realize they needed a pass.  Once in the park, we sat for a long time in a construction pilot car line.  The parking lots in the valley were all full or closed.  The park has become a very difficult place to maneuver/enjoy.  The sights are spectacular, but the time spent getting from one place to another detracts greatly from the experience."
Tioga Pass,5.0,Construction,5.0 of 5 bubbles,"We had to wait for a pilot car to travel on Tioga Pass Road through the construction, but there is no more beautiful place to sit in a car.  Everywhere you look are amazing views. "
Tioga Pass,5.0,Road trip the Pass,5.0 of 5 bubbles,This is a beautiful drive from the valley through the alpine of Yosemite. It’s a spectacular drive into Lee Vining. We drove it all the way to 6E and then through Nevada but the pass itself is wonderful. I would love to do it when I have time to stop and do some of the hikes or swim in the lake.
Tioga Pass,5.0,Don’t miss this drive if the rod is open!,5.0 of 5 bubbles,"This is a beautiful drive that shouldn’t be missed when the road is open. I love that it wasnt’t crowded in mid august. Granite formation you see along the drive, the lakes, the snow capped peaks was incredibly scenic! I prefer Tioga pass than  the valley floor honestly. From Lee Vining to the valley floor we made 4 stops & ended up to be an 8 hour ordeal. Take your time & just take it all in. You won’t regret it. Tip: if you’re short on time skip Tuolumne grove. The hike back is strenuous 1 mile."
Tioga Pass,5.0,Bold scenery,5.0 of 5 bubbles,"Man this drive was stunning. This drive is actually better than the actual park itself. The rock formations,(Olmstead pt) the 2 lakes you see (tenaya and tioga lake , the  Tuolumne meadows, and I hiked up lembert dome, these are the 4th spectacular stops you must see, the tioga lake is last. This is on the eastern part of park. I was coming from San Francisco so got there around 1pmand got out of there by dusk. If you have 2 days in yosemite, make this part of it. The valley is beautiful but of course only the lower waterfalls was flowing so that might be my opinion. I think tioga is more breathtaking. I had 2 days in yosemite and once again spent one of them here. This was early October 2022"
Tioga Pass,5.0,"This was a beautiful road, but please exercise caution!",5.0 of 5 bubbles,"If you enjoy hairpin turns, scenery that you would expect in the movies, and tons of adventures, drive this road. It was arduous to drive once the sun went down. Olmsted Point and Tuolumne Meadows were on this road. The speed limits did change quite a bit."
Tioga Pass,5.0,Wonderful Drive,5.0 of 5 bubbles,We were a little hesitant to make the drive. A lot of reviews and youtube videos talked about it being scary and frightening. It really wasn't bad at all. The Hetch Hetchy drive to the reservoir was worse.
Tioga Pass,5.0,The best part of yosemite,5.0 of 5 bubbles,"There is so much to see! Different terrains, beautiful photo opportunities. Our favorites were Yosemite creek picnic area, Olmsted point, tenaya lake swimming and enoing, and pothole dome. A perfect day for our family of six!"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Vernal Fall,4.5,Premier Hike Expereience!,5.0 of 5 bubbles,"If you are adventurous , this hike is well worth it. The trail to Vernal falls is 1-1/2 miles round trip to footbridge( or about 2-1/2 miles roundtrip to top of falls)   and considered to be ""moderately strenuous"". My wife and I were 64 and 63 years old when we did the hike in mid July of 2021. Note of caution however, is it can be really hot in July on that trail....so.  instead of going in the afternoon, we opted for the next morning when it was considerably cooler , which was smart. Trail covers a little over 1000 feet in elevation and is mostly uphill with a few downhill stretches. A little over halfway to the falls proper, you come to the footbridge (0.8 miles in) , from whence you can see the falls in the distance, offering good photo ops. The reminder of the trail from the bridge to the falls is more uphill, and one should consider going on or not, depending on health, water, etc.. There is water available just past the bridge to refill bottles. My wife and I did do the second stretch to just beneath the falls, However, we did NOT do the additional distance from beneath the falls to the top of the falls- But a friend of ours had done it and thought it worth while, but being in our 60's and somewhat tired, we decided to turn around and head back. Overall the hike was roughly 3 hours for my wife and I due to the additional walking from the first parking area (not the second smaller trail head lot) to the Mist Trail trail head. My wife and I enjoyed it thoroughly and certainly recommend the hike! PS Falls are 317 feet in height with impressive different colored granite as backdrop!"
Vernal Fall,4.5,Starts moderate then gets strenuous ,5.0 of 5 bubbles,"This trail starts moderate but gets tougher with steep unsteady path and steps. You need sensible walking footwear and a level of fitness to get to the top of the waterfall and come back down the same way. We set off 8am and there were flies around but cool, returning 1-2pm it was much hotter, busier and no flies."
Vernal Fall,4.5,Yosemite is still worth visiting !,4.0 of 5 bubbles,"Vernal Falls is just as beautiful from last time we visited . However, at this time, the water level was low and not misty as the trail was named towards the falls. "
Vernal Fall,4.5,Spectacular !!!!,5.0 of 5 bubbles,What an amazing view and wonderful trip. Can't believe we were able to hike this challenging uphill trail to a beautiful waterfall. Water was freezing but did not stop others from jumping in. Can't wait to go back when the falls are fuller. 
Vernal Fall,4.5,Worth the CLIMB!,5.0 of 5 bubbles,"My girlfriend and I were just in Yosemite on a day trip and wanted the shortest hike to a waterfall to save on time. While it was definitely A HIKE (all up hill), it took just a few hours to go up to the falls and back down. Plenty of spots to rest, catch your breath, and take in the beautiful scenery! Pack your water bottle, don't worry there is a restroom half way up. The falls are gorgeous and if you're lucky, you'll catch a rainbow through the mists! Wear good hiking shoes, the stairs by the falls are steep, wet, and slippery! "
Vernal Fall,4.5,"Strenuous hike, worth the trip for the falls and vista",4.0 of 5 bubbles,"Falls were beautiful but not at full strength as it was October.  For me, it was as much or more about the vistas and the exercise.  "
Vernal Fall,4.5,Simply stunning and breathtaking,5.0 of 5 bubbles,"Best hike of my life!! No words to describe how beautiful the trail and the falls are. 1) It’s nearly 4 miles roundrip if you stay on the mist trail (not 2.5 or 3 miles as some claim). 2) It’s 6.1 miles if you go up the mist trail and down the John Muir trail. 3) There is a TON of water in the summer, not sure what these other reviewer‘s were seeing or not seeing. 4) The stairs make it very strenuous. Be realistic about your abilities rather than and give les stars because of your physical condition. 5) If you’re not physically fit, go to the foot bridge and back. The views at the foot bridge are still worth it!!"
Vernal Fall,4.5,Loved seeing the falls in September,4.0 of 5 bubbles,"Well we loved seeing the falls from the bridge, but really disappointed the Mist Trail was closed during the day.  After the brutal climb up theJohn Muir trail, it was disappointing to not get that close to the falls.  Maybe next time !"
Vernal Fall,4.5,Go early in the day!,5.0 of 5 bubbles,"We started just after 7am and had few others with us on the trail. It was a steep incline, but most people can do this very popular hike. I wouldn’t have wanted to be starting this hike later in the day like the people we saw on our way back down from Nevada Fall. "
Vernal Fall,4.5,Mist trail is the way to fully experience,4.0 of 5 bubbles,"Unfortunately the Mist Trail was closed until 3.30 on the day I was there. You really need the Mist Trail to get the full effect of these falls. You can see the falls from a distance on the JMT or else from a top down angle at the top of the falls by heading down from Clark Point, but I couldn't really get the full appreciation."
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Mariposa Grove of Giant Sequoias,4.5,Finally seeing the famous Sequoias!,5.0 of 5 bubbles,"What a wonderful day in Mariposa Grove. Being our first time in Yosemite we knew the Sequoias in Mariposa Grove would be the first site we wanted to see. The area was busy and parking was very packed. There is a shuttle service to the trailhead which is very necessary (without the shuttle you would have to take a very steep 2 mile hike just to get to the trailhead). There are various hikes you can take and obviously the shorter routes are much busier. Have an idea prior to your trip on what you want to see to better determine the route you want to take. Our family went further than a majority of the crowds and made our way to the Telescope Tree (very cool to actually go inside a Sequoia!). Our ""custom"" hike was just under 6 miles. Take breaks and plenty of water especially on a warm day!"
Mariposa Grove of Giant Sequoias,4.5,"Great views of the sequias, but take the long hike!",5.0 of 5 bubbles,"We loved our visit to the mariposa grove.  Outside of Muir Woods in CA, this was our first visit to a large grove and it was really breathtaking.  Most folks on tours or visiting only go on the shorter trail. Take the long trail and see the trees around the upper grove.  We would have hiked more, but missed a few shortcuts we could have taken on perimeter trails They could use some better maps to show how the short cuts will save you time, especially for folks that dont want longer hikes.  Fantastic views for us with fantastic weather!"
Mariposa Grove of Giant Sequoias,4.5,one of the best experiences of my life.,5.0 of 5 bubbles,"i am so very glad we got to experience this. my wife and I took our oldest here for her graduation present and it was such a great experience.  we came july 2020 during the coronavirus upheaval and couldn't get a day entry pass so we took the YARTS bus into the park and it dropped us of right at the grove parking lot, which is literally right next to the park entrance. we got there as early as the YARTS bus could get us there, so we arrived at the mariposa grove parking area/bus stop at 830am. since they aren't running the park shuttles we walked the trail from the parking area to the grove.  there was barely anyone else around, only maybe 10-20 cars in the parking lot.  we are very active people so the hike to the grove on the trail wasn't difficult and took us about 45 minutes to cover the 2 miles. once we got to the grove (I want you to listen carefully to me here), it was one of the greatest experiences of my life.  there was basically no one there.  i counted 11 other people  the entire time we were walking around the grove. it felt like we had it to ourselves and i felt so honored to have gotten that experience.  i have never had that feeling in nature before.  the trees are absolute giants and it was so cool to see them.  we sat for 15 minutes on the benches at/under the grizzly giant and just absorbed how large and awesome it is and didn't see another person the whole time we sat there.     we walked the rest of the Grizzly Giant Loop Trail and it was just as excellent as anyone could ever ask for.  we didn't rush ourselves and we spent a comfortable amount of time in the grove and enjoyed ourselves there.  we made it back to the grove parking area to catch the YARTS bus back out of the parking area about 1230 or so.  since we didn't know how long it would take us to get to the grove, we were hiking with a good bit of hustle, but were able to take our time in the grove and on the hike back to the parking area.  awesome experience, highly recommend.  if you decided to take the trail from the parking area to the grove, your shoes and lower legs are going to be absolutely covered in dust.  my wife and daughter used the time before the bus came one we got back to the parking area to wash their legs.  being the caveman that i am i chose to just stew in my grime."
Mariposa Grove of Giant Sequoias,4.5,A L E R T  the   P U B L I C  >>> N P S,2.0 of 5 bubbles,"Rangers were wrong. TIP: Read these 2021 posts people. No family should need to walk 6 miles to see these trees. I saw toddlers, little dogs and the elderly all on their near death hike to the trees during the heatwave. Many never made it. What a National Park Service (NPS) mistake this is! The Rangers are set up on wrong side of the visitor center. The public unknowingly walks to the trailhead without NPS input. You'd think someone is charge would step up. The Shuttles are not running. The New Visitor Center is now 2 miles away from the old Center so everyone with outdated guide books is ill prepared. Plan to see sequoias elsewhere."
Mariposa Grove of Giant Sequoias,4.5,Mariposa Grove - Yosemite,4.0 of 5 bubbles,"Since they have renovated and upgraded the area it's quite a place to visit! I visited in June and the grove is located  1hr south of Yosemite valley on hwy 41. After parking in a fairly large lot, you can either go to the store or jump on one of the buses that will drive  ( at no cost, since it's still in Yosemite) you to Mariposa Grove.  Once there you can wander at your own speed and take the various wide circuitous paths around the area. The trees are magnificent and are truly big! Some of their branches as bid as a normal tree!  If you want to see big Sequoias without the crowds this is the park in my opinion.  Buses were full but available."
Mariposa Grove of Giant Sequoias,4.5,Post Washburn Fire visit,5.0 of 5 bubbles,"We shuttled up early in the morning to avoid the heat of the day.  The Mariposa Grove shuttle driver clearly explained where to get off the shuttle and where to get back on.  I noticed that the line to get back on the shuttle to head down has been updated with ropes to keep folks organized; when we visited in June, getting on the shuttle was just a pushy free-for-all. The return ride was about a 30 minute wait to board a shuttle.  Midweek, late Sept."
Mariposa Grove of Giant Sequoias,4.5,Not worth the hike,2.0 of 5 bubbles,"If you have ever seen a giant sequoia anywhere else-Muir Woods, N Coast, Kings Canyon, you can skip Mariposa Grove. I love to hike and I love trees, but this was so disappointing. 2 mile hike uphill through manzanita that was very exposed and hot then you get to the ""grove"" and there are very few trees! I was expecting a beautiful, lush, cooling hike and grove. Nope. Unfortunately fire damage and managed thinning has reduced this grove to a few trees. I would not recommend. There is no shuttle right now. Maybe if the shuttle is running it would be worth a quick look. "
Mariposa Grove of Giant Sequoias,4.5,Giant Trees,4.0 of 5 bubbles,If you haven’t seen sequoias before it is about 30 miles from the west entry of El Portal side. There is a shuttle that runs during the summer. During the winter it is about an extra 4 mile round trip to get to the shuttle drop off up a hill or through the trail in the woods. There are some really large sequoias there like Grizzly Bear and the walk through tree.
Mariposa Grove of Giant Sequoias,4.5,Beautiful area of Yosemite,5.0 of 5 bubbles,"This was an amazing way to spend a couple hours. This is right near the south entrance of the park. This section of the park had only been opened a couple days when we visited so the shuttles were not running. We left the parking lot about 9 and walked up the road. It took 50 minutes. Once we got up there it was REALLY snowy. The snow was pretty packed but we did slip and slide a little bit. For sake of time, we only hiked out to the tunnel tree (0.7) and then came back the same way. There are much longer hikes you can do if you want. It was a beautiful area of the park. Make sure you pack snacks and water and go to the bathroom before you go up. I would suggest doing this as early as possible to avoid large crowds. Great way to spend 3+ hours."
Mariposa Grove of Giant Sequoias,4.5,"This walk will get your heart pumping, but well worth it.",5.0 of 5 bubbles,"This is Yosemite, not Disneyland. So it’s nature at its best. This is hundreds of years of history in the making, it was never designed for humans to have an easy time seeing it. Having said that it has certainly been assisted in modern times to let us visit it. To give a balanced review we took the trail up from the main car park. $35 to enter Yosemite, but that lasts for 7 days. The walk up does have some fallen trees on it, of which most you walk around. If not, sit on it and slide over. It’s a steep walk and takes over an hour. Yes, it’s 2 miles. At that point you reach the car park, or if you had the appropriate badge, that’s where you park. Toilets were open and operational. Fallen Monarch road with easy access at this point is closed as there was damage to it. However easy access road to the left all the way to Bachelor and Three sisters is open, though to be honest if you are pushing a wheelchair it isn’t going to be easy. From here we walked the trail to Grizzly Giant and California Tunnel Tree. Total time at this point for a man of 60 years from entrance to Tunnel Tree took exactly one and a half hours. That was what I wanted to see so I can’t comment on anything else beyond. Return walk was down the road and was smoother but felt longer. No speeding traffic came past, just plenty of happy hikers with pleasant “Good mornings.” Total time to Tunnel Tree and back was 3 hours. Total distance 6.2 miles. Plenty of toilets available at various intervals, road or trail. If you are inspired by natures wonders well worth the effort. If you are looking for Disneyland and staff at every corner you are visiting the wrong location. Put simply, sorry to say but not everyone will be able to visit and enjoy it. For those that can, do. Another attraction nearby is the swinging bridge which is a lot easier to drive and walk to, which we did later, so consider that if you don’t want this strenuous hike."
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
