national_park,state,trail,activity,overall_rating,comment_title,comment_ratings,comment_text
Arches National Park,Utah (UT),Skyline Arch,Geologic Formations,4.5,Sunny at the skyline arch ☀️,5.0 of 5 bubbles,This was our first trail we walked on and honestly our favorite spot to just relax at. We sat on the rocks back there just soaking up the sun for an hour and only three people walked back to see the arch. You can also see the back of the arch if you’re at the devils garden campgrounds
Arches National Park,Utah (UT),Skyline Arch,Geologic Formations,4.5,Easy access to view arch  from short trail and can be seen close to parking lot,5.0 of 5 bubbles,"What a surprising stop to see a wonderful arch. We almost drove by this arch after hiking all day long but so glad we did. The short hike is .4 miles round trip and if you don't want to walk the entire way, there are many places to take a photo close to the parking lot. The blue sky was just perfect in the afternoon and this arch make us smile since it seemed to be tilted.  There was sufficient parking since people seemed to come and go. The path way was fairly flat. "
Arches National Park,Utah (UT),Skyline Arch,Geologic Formations,4.5,Short hike so might as well stop by,4.0 of 5 bubbles,"An easy 5 minute hike from the parking area. You get to see this arch up close. When I went there were a few people actually in the arch. They said they were able to get up there from the Devils Garden campground. I'm not sure about how accurate that is,  but it's worth looking into if you are camping there. "
Arches National Park,Utah (UT),Skyline Arch,Geologic Formations,4.5,Cool arch you can see from the road,5.0 of 5 bubbles,"You can view this from the road, from the parking area, or by hiking out to it. This is a great arch for people with mobility issues or just those who don't want to hike. We did this on our way back from hiking Landscape Arch. If you do it that way, it'll be on the left side of the road. It was not busy at all when we stopped."
Arches National Park,Utah (UT),Skyline Arch,Geologic Formations,4.5,Arch in the sky,4.0 of 5 bubbles,"The trail here is moderate, about half a mile round trip from Devils Garden Road. The arch is high up, hence the name. It was worth seeing, but I wouldn’t rank it as the most impressive ever given its inaccessibility."
Arches National Park,Utah (UT),Skyline Arch,Geologic Formations,4.5,Top Secret:  Best arch hike in the park...,5.0 of 5 bubbles,"Yes, you can see this arch from the road.  It is pretty.  However, if you look carefully at the map, you will see that right behind the arch is the Amphitheater and the campground area.  If you carefully plan your course and have a sense of adventure, you can climb up to the arch and sit in it.  Start by the amphitheater parking spots, walk between the benches to the back of seating, then stray to the right (north, I think).  This is the best path so you don't have to navigate around any steep drops.  My kids (12 and 8) and my wife went with me and we all sat in the arch.  It is amazing, best pictures are in the morning, when the arch is lit by the sun.  There are places where it warns about disturbing vegetation and micro-organisms.  Try to stick to the big rocks and follow the trails of high traffic areas."
Arches National Park,Utah (UT),Skyline Arch,Geologic Formations,4.5,Skyline Arch,5.0 of 5 bubbles,Skyline Arch is towards the back of Arches National Park and just before you enter the Devil’s Garden Trailhead area. This was a fun stop where we took about 5 minutes to walk close enough to get a decent view and get right back in the car.
Arches National Park,Utah (UT),Skyline Arch,Geologic Formations,4.5,Lovely and near the road,5.0 of 5 bubbles,"You can view this arch from the parking area just before you get to Devil's Garden or you can take a short hike for a closer view.  It is elevated, so you cannot easily climb into it the way you can with some of the other arches.  "
Arches National Park,Utah (UT),Skyline Arch,Geologic Formations,4.5,Beautiful rock formation,5.0 of 5 bubbles,This is another unique arch.  The hike is easy and there are many good viewpoints for picture taking. Worth visiting while in Arches.
Badlands National Park,South Dakota (SD),Castle Trail,Hiking Trails,4.5,Fairly easy 10-miler,4.0 of 5 bubbles,"This is the longest hike in Badlands NP. We did the Notch Trail at sunrise and got back to the car just as a downpour started. We hit the trail, (which is directly across the road from where the Notch and other trailheads are) immediately after the rain halted. The first few miles were a muddy mess but with the sun the trail dried up quickly. Bring water and some calories. We were fortunate that there was a nice breeze and it wasn't too hot that day. This is an out-and-back hike with the mid-point being the Fossil Exhibit Trail. There are restroom facilities there if needed. Retrace your steps and enjoy the day. There is also the Medicine Root Trail that loops off of Castle Trail and reconnects with it after a few miles. I read that it wasn't worth it so we didn't try that option. You may wish to consider that option however. "
Badlands National Park,South Dakota (SD),Castle Trail,Hiking Trails,4.5,Terrific trail!,5.0 of 5 bubbles,"As you can tell from other reviews, this trail is part of a network that covers quite a lot of the park.  I just did a short up and down hike starting at the Castle Trail trailhead and climbing up as far as the junction with the other trail.  It is a fairly steep climb, but nothing too technical.  Once on top of the ridge you have all sorts of options for scrambling up higher for even better views, or just for the fun of climbing around on big rocks.  Great fun."
Badlands National Park,South Dakota (SD),Castle Trail,Hiking Trails,4.5,Castle Trail,3.0 of 5 bubbles,This is somewhat desolate though it has quite varied topography.  It enables one to come up the backside of the Saddle Pass trail and avoid the steep trail.  I came back the next day and ran along the trail.  It was a good run.
Badlands National Park,South Dakota (SD),Castle Trail,Hiking Trails,4.5,This is a great trail,5.0 of 5 bubbles,"My family loved this trail. There are a few things to keep in mind. It is a 5 mile trail one-way. So if you walk the whole thing, you need to have an extra vehicle waiting on the other end, or it's a 10 mile walk. Also, walk this trail starting in the early morning or late afternoon, as there is very little shade. Take plenty of water! Long pants are definitely recommended."
Badlands National Park,South Dakota (SD),Castle Trail,Hiking Trails,4.5,Castle/Medicine Root Trail Loop: Great scenery but not an essential hike,3.0 of 5 bubbles,"We started from the Door/Window Trail parking lot and took the Castle Trail to the point at which it intersects the Saddle Pass Trail, we then took the Medicine Root Trail (and start of the Castle Trail) back to the parking lot to form a loop. "
Badlands National Park,South Dakota (SD),Castle Trail,Hiking Trails,4.5,Great trail!,5.0 of 5 bubbles,"Have hiked all over the Black Hills and Badlands...this and Harney trail #9 are the very best.  From the Windows/Doors/Notch parking lot trailhead to the Fossil Trail parking lot and back is 10 1/2 miles.  Go early in the day, and bring LOTS of water.  There is no water available at Fossil Trail.  For a shorter hike, loop back using the Medicine Root Trail."
Badlands National Park,South Dakota (SD),Castle Trail,Hiking Trails,4.5,Be prepared and enjoy!,4.0 of 5 bubbles,"This is a great trail, indeed. Castle trail after half a mile or so connects to the Medicine and Root trail, which if walked in a loop back to the beginning of castle trail is 6.6 miles. "
Badlands National Park,South Dakota (SD),Castle Trail,Hiking Trails,4.5,Done on a cloudy day,5.0 of 5 bubbles,"Climbed Saddle Pass trail (15 mins), muddy in the wet.  Did the Castle and Medicine Loop. Medicine out less interesting.  Castle on the way back?  Totally loved it.  Well marked across the occasionally lunar landscape.  "
Badlands National Park,South Dakota (SD),Castle Trail,Hiking Trails,4.5,Great,5.0 of 5 bubbles,This is a relatively flat trail and the longest marked trail in the badlands.  I've hiked this one twice.  You visit many types of terrian.  From grasslands to the hills themselves.  Don't miss it if you have the time.  If you can have someone drop you off at one end and pick you up at the other.  Many great photo ops.
Badlands National Park,South Dakota (SD),Castle Trail,Hiking Trails,4.5,Fantastic Trail,5.0 of 5 bubbles,We hiked a portion of Castle trail; then took Medicine Root Trail back. We started at Saddle Pass Trail which was a hard climb to Castle Trail but so fun! We had our 12 and 11 year old with us and they did great. Better than I did. I used hiking sticks to get up and down Saddle Pass. That worked really well and helped with my footing. 
Big Bend National Park,Texas (TX),Terlingua,Ghost Towns,4.0,Not worth seeing,2.0 of 5 bubbles,Not much here to see or get excited about.  
Big Bend National Park,Texas (TX),Terlingua,Ghost Towns,4.0,Provisioning Outpost!,5.0 of 5 bubbles,"We visited the town on a trip to Big Bend National Park. It was a small town, but so interesting. There are several restaurants, a grocery story, gift shop, liquor store and well provisioned gas station. The people were super friendly and we left wondering how they survive in the heat of summer. The history of the area was fascinating! We saw a road runner, lots of birds and rabbits near the Starlight restaurant. If traveling to Big Bend, you will most everything you need in this small town!"
Big Bend National Park,Texas (TX),Terlingua,Ghost Towns,4.0,Not what expected,4.0 of 5 bubbles,Historically interesting-take the time to get a pamphlet from the general store and do the self guided tour. Hard to believe population was once over 2000 compared to about 80 now. A walk around the cemetery is interesting. As for Terlingua it might have been fun if I were a drinker to sit on the porch and have a beer. 
Big Bend National Park,Texas (TX),Terlingua,Ghost Towns,4.0,"North of the border, South of America",5.0 of 5 bubbles,"I know what the map says, but I am still not sure where I was. Sort of like in a dream, lost in time, lost in space. If you are looking for something totally different, off-beat with an old-west/hippie feel, Terlingua Ghost Town is for you. You will either love it or hate it. Terlingua is a convenient location for exploring Big Bend Ranch State Park and the western portion of Big Bend National Park. Our group stayed two nights in the restored Perry Mansion. I was afraid it might be like Hotel California where “you can check-out any time you like but you can never leave”. We made it out! No ghosts in the cemetery (that we saw)."
Big Bend National Park,Texas (TX),Terlingua,Ghost Towns,4.0,A Repurposed Ghost Town with Cool Cemetery,5.0 of 5 bubbles,"Terlingua is both a viable functioning community and a ghost town at the same time.  It is a ghost town because once in its history is was bigger than currently today and has abandon buildings from its time as a mining town.  However, many of those structures have been converted to restaurants, hotels and other service venues to care for the tourist that now come to see Big Bend National Park.  So much of what is called a ghost town is simply reconverted buildings.  The one thing that does speak to the mining past glory days is an old cemetery that as one has said perfect for pictures.  I visited the cemetery alone after our hike in the Chisos.  It was interesting to read about the old community and cemetery.  However, it was better to do what so many others had done to just walk through and take pictures.  The combination of an old cemetery with desert views of the Chisos and other Big Bend favorites make it great for pictures.  However, Terlingua is still very vibrant as we stayed here at the El Dorado and ate at High Sierra Grill."
Big Bend National Park,Texas (TX),Terlingua,Ghost Towns,4.0,Ghost town and livable town all at the same time,5.0 of 5 bubbles,"It’s a ghost town and a current town in one. There are places to eat, places to stay and things to do (mostly Big Bend NP). All of these things interspersed among ruins of an old quicksilver (Mercury) mining town from the early 20th century. The ruins are not labeled, but are pretty cool."
Big Bend National Park,Texas (TX),Terlingua,Ghost Towns,4.0,Not really a ghost town,3.0 of 5 bubbles,"I love hiking Big Bend National Park, and normally stay in Marathon or Marfa on the way down. This was my first time in Terlingua and I can't say I'd come back. It's an old mining town, and mining is still going on between Alpine and Terlingua. There are a lot of tourist trap type attractions and it's much bigger than a ghost town. It's not walkable. Roads to Airbnbs aren't paved and the restaurants and bars are not worth going to. If you're looking for nature or relaxation, this ain't it."
Big Bend National Park,Texas (TX),Terlingua,Ghost Towns,4.0,Great Gateway to Big Bend,5.0 of 5 bubbles,Charm and history and outdoor activities fill Terlingua. Good restaurants and saloons add to the unique sounds of this Southwest Texas town. Small but big in character and atmosphere. Lots to see and do before or after your visit to Big Bend. For the outdoors adventurer there are opportunities for hiking and rafting.
Big Bend National Park,Texas (TX),Terlingua,Ghost Towns,4.0,Not worth the drive,3.0 of 5 bubbles,"I suppose our little family does what everyone else does and takes a trip to the Big Bend-Over (it was essentially closed) and also putzes about these little 'must -see' towns along the way. There is nearly nothing to do in the town except look at some old shut down mercury mines. The river is super muddy and kind of fast so it is not suitable for small children to swim in. The saving grace was the La Jajitas golf resort. We stayed there and it was a great stay with a really great restaurant. If you golf it may be worth checking out the golf packages but my 3 year old twins don't golf, yet."
Big Bend National Park,Texas (TX),Terlingua,Ghost Towns,4.0,COWBOY LIVIN,5.0 of 5 bubbles,Texas style wild wild west for sure. I stayed in a Bed & Breakfast that ran off a generator and had no indoor plumbing and I must say I had the time of my life. I go there often and leave feeling like Belle Starr every time
Biscayne National Park,Florida (FL),Adams Key,Islands,3.0,Adams Key,4.0 of 5 bubbles,"We visited Adams Key while on a sailing excursion in Biscayne National Park. We didn't spend much time on the key itself, it was basically a launching point for kayaking and paddle boarding through the mangroves. However, the key is nice. In addition to the boat dock, there are some picnic pavilions and restrooms."
Biscayne National Park,Florida (FL),Adams Key,Islands,3.0,Pretty Spot for Lunch,4.0 of 5 bubbles,"My husband and I took the Island Dreamers tour (permit holder with the NPS) and we stopped here for lunch. There isn't much to do on the island, but it was a nice half hour spot to eat lunch. There are tables beneath a shaded area to cool off after a few hours of sailing. We also saw a Cuban raft that the rangers had rescued... Made of Styrofoam. No kidding. There is a short walking path but it's overgrown and mosquitos reign. Overall, no more than a half hour needed on island. It's a beautiful spot."
Biscayne National Park,Florida (FL),Adams Key,Islands,3.0,Very strong current!,2.0 of 5 bubbles,Hubby and I tried to moor our little 16 foot flats boat here today to use the public facilities but current was too strong to stop on the outside of the dock and only park rangers are allowed to bring their boats inside the dock area!  Public not allowed so that was a pain as I wanted to use the loo there!
Biscayne National Park,Florida (FL),Adams Key,Islands,3.0,Absolutely horrible place with an advertised trail that doesn't exist. ,1.0 of 5 bubbles,"This Key is the most disappointing place I have visited on the keys. The track has not been maintained and disappears after a couple of hundred yards. The national parks service should be ashamed. The amount of plastics bottles and rubbish is disgusting, Don't go there. "
Biscayne National Park,Florida (FL),Adams Key,Islands,3.0,Amazing experience,5.0 of 5 bubbles,"We had a great day at Adams key. Very easy and good prices at the National Park. The crew was amazig, we did kayakingand snorkling at the key. Very recommended!!"
Biscayne National Park,Florida (FL),Adams Key,Islands,3.0,Toilets!,3.0 of 5 bubbles,"Unlike our last visit here, the water was calm enough where we were able to moor at the dock and use the toilets without getting bitten by mosquitoes. There is a small plaque about the history of the island and I believe you are allowed to camp here but there is really no other reason to stop unless you need a toilet break.  You can however only moor on the outside of the dock, as the inside section is set aside for park rangers."
Biscayne National Park,Florida (FL),Adams Key,Islands,3.0,They have toilets here. No other reason to come.,1.0 of 5 bubbles,"You'll be bitten by noseeums here. There is no reason to come here other than to use the toilet. No sinks, only hand sanitizer dispensers. "
Biscayne National Park,Florida (FL),Adams Key,Islands,3.0,beautiful,5.0 of 5 bubbles,"Sailed to Adams Key, picniced, climbed Palm trees for coconuts then hit the water with our paddle boards.  Clean rest room facilities, picnic tables under a pavilion.  NPS employee lives on island, very nice!"
Biscayne National Park,Florida (FL),Elliott Key,Islands,3.5,Great boating destination.,3.0 of 5 bubbles,Great boating destination and a pretty neat place but bring the bug spray and bug gear.  Probably best visited November through early April.  They had flush bathrooms and showers which was a plus!
Biscayne National Park,Florida (FL),Elliott Key,Islands,3.5,Elliot Key,3.0 of 5 bubbles,"Planned a visit to go hiking on Elliot Key in Biscayne National Park.  The National Park Service does not have a concessionaire under contract at this time to take visitors out to the Key so you must locate and hire your own water transportation to reach Elliot Key which is approximately 7 miles off shore.  We contracted Tropic Sea Tours, (305-669-1645), which provide us transportation from the Homestead Florida Marina to the Key and back at a reasonable price.  The boat's captain, (Ed del Campo), made us feel right at home and provided us with drinks and snacks during our trip over to Elliot Key, (approx. 20 min. ride).  Tropic Sea Tours anchored their boat at Elliot Key and waited for us to finish our day hike, (8 miles round trip),  before taking us back to the marina for the day. "
Biscayne National Park,Florida (FL),Elliott Key,Islands,3.5,Mixed Results,3.0 of 5 bubbles,"The Good:  A great location, fantastic views of Miami and very nice setting.  Visiting Jan through March is best to avoid mosquitos, bring bug spray.  Nice trails for exploring from Bay to Ocean side.  Recommend camping on on Northern point (furthest from Ranger station/restrooms), good breeze, views and fishing.  The Bad:  None of the regulations are enforced.  Loud- night club sized amps/speakers on back of boats blaring music so loud you can hear on opposite side of island.  This goes on daily and nightly into early hours of morning.  Generators going all night long, with cables everywhere.  The Park Service does not enforce noise ordinances at all or maintain restrooms.  Overflowing toilets are common and showers are not kept clean.  Better during week vs.  weekend part boaters.  Sad for such a great location"
Biscayne National Park,Florida (FL),Elliott Key,Islands,3.5,DO NOT CAMP HERE OVERNIGHT,2.0 of 5 bubbles,"For the love of God, do not camp here. This place can be fine for day use only. That means you come here on your own boat or with a friend on their boat so you can leave. We took the 8am morning boat here from the Biscayne Institute (from the Dante Fascell visitor center) because no one made it clear to us how horrible the biting insects are on this island. That boat only makes one trip and comes back the next day at 9am. It also wasn't clear that there wasn't a beach to spend time on. I think there is one, but maybe it was just closed because of hurricane Irma. I don't think I would've used it anyway, because of mosquitoes and noseeums. Yes. During the middle of the day, in the sun, anywhere on this island. We initially thought we'd go for a hike along the 8 mile trail... Nope. Swarms of mosquitoes. On Dec 16. We were even prepared with long pants, windbreakers and mosquito head netting. They bit through my socks (which I had tucked my pants into). I was wearing smart wool PhD socks. Bit right through them. You have to wear long sleeves and long pants. When it's hot, that is uncomfortable. Deet might deter some mosquitoes, but noseeums don't care about deet. Around 4:30pm, the bugs (even out far from the mangroves near the farthest edge of the harbor) became thicker and merciless. Good luck getting into your tent without bringing a couple dozen noseeums and a few mosquitoes with you. They will then torture you during the whole night. Then there are raccoons that will come and try to break into your food supplies. The boat captain told us that they had figured out how to open very stiff latches on the 60 gallon lidded tubs he loaned us, so we had to tie them shut, as well. They didn't stick around long. I think the bugs were biting them, too. "
Biscayne National Park,Florida (FL),Elliott Key,Islands,3.5,Elliot year round,5.0 of 5 bubbles,"it is by far the best place to spend a day on the clean bay water of Biscayne bay but its only for boaters or you must travel down to homestead bay front p. and take the boat for hire out there,for me its like a piece of paradise right in my own backyard its a bit costly because of gas ,food,the high cost to launch at the dade-county rapms,etc. would not trade it for any other place in all the years ive only had it rain once or twice a year theres no real natural sand beaches so you swim with a noodle or smal patches of sandy shallows "
Biscayne National Park,Florida (FL),Elliott Key,Islands,3.5,where we were brought to on an NPS boat ride,3.0 of 5 bubbles,"Unless you have your own boat to get you here, you need to pay to take a boat trip out here...it is remarkably clean...it is maintained by NPS...and can be used for free by anyone I guess...beautiful views from it..."
Biscayne National Park,Florida (FL),Elliott Key,Islands,3.5,"Would be good, had the concessionaire not just quit",2.0 of 5 bubbles,"Had planned to take a day trip out to Adams and Elliott Keys along with snorkeling.  However the park concessionaire had recently broken the contract with the NPS, leaving little else to do, other than the visitor center and the beach/board walk.  Was looking forward to the trip, but was out of our hands to do something else.  Am sure it's much better when everything is running.  The NPS hadn't even gone out for bids on a replacement, so it'll be a while.  "
Biscayne National Park,Florida (FL),Elliott Key,Islands,3.5,Relaxation time!,5.0 of 5 bubbles,"Elliot Key is a beautiful location. I've been there several times on my friend's boat. Beautiful, relaxing, very special. It's a great boat ride from Miami. Nice to stay there for a few days and just enjoy the sun, the ocean, the peace, the silence.... really worth it!!!"
Biscayne National Park,Florida (FL),Elliott Key,Islands,3.5,Boating day out!,4.0 of 5 bubbles,"Hubby and I launched our little boat out from homestead bayfront park today and spent the day boating in around Elliot key.  Water was warm, no mosquitoes, great snorkeling in the mangroves (lots of mangrove snapper) and just a lovely relaxing day out.  Water was crystal clear and while there were a lot of other boaters around in the area you can always find a quiet spot away from the twits that blast rap music or salsa from their boats and seem to think everyone else wants to hear it!  Beautiful !!"
Biscayne National Park,Florida (FL),Elliott Key,Islands,3.5,Boating and Fun Abound!!,5.0 of 5 bubbles,"We have been out here several times on my friend's boat.  We throw the anchor in and hang out for hours.  The kids and adults alike have a blast swimming, rafting and kayaking.  The water is so clear and the island is a piece of paradise.  Highly recommend it - good times had by all."
Bryce Canyon National Park,Utah (UT),Wall Street,Geologic Formations,5.0,very steep,3.0 of 5 bubbles,"it's s section of the Navajo trail, very steep, if you look down from the top, you may hesitate to go down, if you have knee pain, it will be very hurt to your knee to walk down so steep slope, so I recommend to go up rather than go down which would hurt the knees more. But of course go up may required more energy, but you can take certain stops in between along the way, take some pictures of the gorgeous scenery, drink some water and take a rest, it should be ok to walk up if you are not in hurry, we walk with 2 young kids, aged 3.5 & 6, they can finish the trail. For the ""wall street"" portion, you can finish less than 1 hr, but for the whole Navajo trail, may require 1-2 hrs. This section will be closed in winter."
Bryce Canyon National Park,Utah (UT),Wall Street,Geologic Formations,5.0,Great hike with a lot of options,5.0 of 5 bubbles,"This is a great hike. We did Wall Street then continued to Queens court and back up to Sunrise Point.  We did this so we would descend the switchbacks of Wall Street and hike the more gradual incline out of the canyon.  This I one of the best hikes in the park in my opinion.  You get the slot canyon feel of Wall Street the floor of the canyon trees , the geological feature of the Queen’s court , then the vastness views of the canyon on the incline side."
Bryce Canyon National Park,Utah (UT),Wall Street,Geologic Formations,5.0,Beautiful Narrow Area in Bryce Canyon,5.0 of 5 bubbles,"We hiked down into Wall Street on the Navajo Trail.  This is a really beautiful part of Bryce Canyon.  It get quite narrow and the shadows and sunlight play off of the orange and reddish colors of the stones.  Do be aware that there is danger of falling rocks in this area.  The area can also be popular so there are often many other people in Wall Street.  Getting pictures without strangers in the background is difficult. The ground is often uneven and you need good footwear.  The hike to this area is not easy so be sure you are up to it.  However, it is worth the work.  It is a wonderful place.  My son and I loved this area."
Bryce Canyon National Park,Utah (UT),Wall Street,Geologic Formations,5.0,Worth the work!,5.0 of 5 bubbles,"Incredible experience on the Wall Street hike. We were looking for a chance to get down onto the canyon floor to see the massive hoodoos. This was it! It’s not an easy hike with lots of steep switchbacks but definitely worth the experience. My family, including two kids under 10, was able to go down for about a mile and then make it back up in an hour.  We all broke a sweat but the sites and the experience were well worth it."
Bryce Canyon National Park,Utah (UT),Wall Street,Geologic Formations,5.0,Huffed and Puffed,5.0 of 5 bubbles,"We did the Queen's garden trail to the Najavo trail and ended up on wall street.  it took about 2.5 hours for twe elderlyl women.  It is first of all remarkable views, the beautifl rock formations decend to a lovely wooded trail and then back to wall street.  I am a bit overweight and near 60.  The altitude made me breath heavy even with the smallest incline.  Be we were told over and over again that switchbacks are easier to deal with then a long accent.  That is what awaits you in Wall street.  It looks intimidating.  I did have to stop and catch my breath frequently but I do beleive this was easier than a constant climb.  "
Bryce Canyon National Park,Utah (UT),Wall Street,Geologic Formations,5.0,Amazing Views,4.0 of 5 bubbles,"It was a bit of a climb, but the view was worth it. We took the queen's garden trail to Wall Street, which took about 2 hours. The view from the top is like nothing you have ever seen before. It looks like something right out of a postcard! The majestic and unearthly looking rock formations were just amazing. The whole trip was a memory I will not soon forget. - as written by my teenage son. "
Bryce Canyon National Park,Utah (UT),Wall Street,Geologic Formations,5.0,Unique Views!,5.0 of 5 bubbles,"Wall Street was the only thing I hiked at Bryce but it was so worth it. If you walk down there, it's kinda easy to get there because you're going downhill. It's not super exhausting or dangerous or anything, it's just a cool experience. Make sure to not look down all the time but also back how the view is different and it's just cool to look down at first and then be down there. It's definitely a lot deeper than it looks! Going up is a bit exhausting I have to say. It doesn't look like it but all people coming up are breathing hard and I only understood when I was going up. But worth it!"
Bryce Canyon National Park,Utah (UT),Wall Street,Geologic Formations,5.0,"""Have to See!""",5.0 of 5 bubbles,"Start at Sunrise Point and follow the ""Wall Street"" sign descending down a winding path to a wonderful slot canyon with tall trees growing within it. Beautiful colors and cool shade areas. Easy going down but a good hike back up. Take your time and bring water; about an hour roundtrip."
Bryce Canyon National Park,Utah (UT),Wall Street,Geologic Formations,5.0,Bryce Wall Street Hike,4.0 of 5 bubbles,"If you want to be close to the rocks, touch the rocks, and feel enclosed by the rocks, then Wall Street is the way to go! This hike is steep. You will go down the switchbacks and then back up the switchbacks. This is either the beginning or end of the Navajo Loop Trail. I think it is easier to start with Wall Street and then come back up on the other part of the loop."
