trail,overall_rating,comment_title,ratings,comment_text
Burlington Bike Path,5.0,Riding Bikes on the Burlington Bike Path,5.0 of 5 bubbles,"Great trip! We arrived at approximately 9:30 am and made our way to the entrance of the causeway. Earlier in the day, we rented two bikes from locomotion and transported the bikes via a bike rack to the causeway. The Burlington bike path was fantastic! I highly recommend this excursion for anyone visiting Vermont! The bike path was clean, nicely landscaped and the views were out of this world. The causeway was about 3 miles each way, with multiple places to stop along the way to rest and take pictures. The bike path was slightly crowded when we went, however everyone was super friendly and followed the rules on the road. "
Burlington Bike Path,5.0,Scenic Bike Path,5.0 of 5 bubbles,"This is a good, mostly flat bike path which runs along Lake Champlain. There is parking available in a number of spots and some scenic sections. It is very popular, however, and was crowded in some places especially as you near downtown Burlington. I would try next time not to ride at quite such a peak time to avoid crowds."
Burlington Bike Path,5.0,A Burlington Highlight,5.0 of 5 bubbles,"The Burlington bike path is only 10 miles long, but it is noteworthy for its spectacular Lake Champlain views, first as you ride along a waterfront park and then as you ride on a causeway that used to be a railroad three miles out into the Lake, which produces spectacular panoramic views that you'd otherwise need a boat to get.  About 2/3 of the trail is paved and the other 1/3 is tightly-packed gravel.  You could make it on a road bike, but the hybrid I rented was ideal.  The trail itself is mostly flat - I rode the entire trail using the middle 8 gears of the 24-speed bicycle."
Burlington Bike Path,5.0,Experience the feeling of being alive!,5.0 of 5 bubbles,"We love walking the path! There are numerous places to sit on a rock or under a tree and watch the waterfowl come and go. All kinds of boats go past, fishermen and their families spend a great deal of time looking to catch the big one. The sky is big and open and you feel lucky to be alive!"
Burlington Bike Path,5.0,"Go as far as you can physically go, and then come back!",5.0 of 5 bubbles,"The bike path is OK until you reach the Colchester Causeway then it gets amazing.  There is nothing like riding, walking, or jogging in the middle of the lake.  The ferry should be open in mid August which wll allow you to travel to the island.  So much fun."
Burlington Bike Path,5.0,Wow. Fantastic,5.0 of 5 bubbles,"Such a pleasant ride, going North, or riding South. So pretty.  A friend who has ridden the USA rode it yesterday said- ‘it’s a jewel “.  So many places to stop, lock your bike, sit by the lake, or take a walk in the woods.”   She was completing a 509. mile journey to visit us, and that was her path on her final day, at age 77.  "
Broken Arrow Trail,5.0,"Don’t hesitate, just book-it!",5.0 of 5 bubbles,"We did the Broken Arrow tour and it did not disappoint. Our tour guide was Corry G. and he made our trip a blast. He was an excellent driver who was knowledgeable of the area we toured, and he kept us engaged. He was also very friendly, and comedic at times. I’m very impressed with Pink Jeep Tours, and the comradeship that the other Pink Jeep drivers displayed while out on the trails was amazing!"
Broken Arrow Trail,5.0,I LOVE SEAT BELTS,4.0 of 5 bubbles,I did go on this trail but we had a driver so it was the safer way to go. The road was definitely full of pot holes that made it a wild ride. The turns and unexpected vistas made the outing more interesting. The driver was great  and pointed out the various rock formations some of which were breathtaking. The trip lasted about 1 hour and I was looking forward to a soft seat.
Broken Arrow Trail,5.0,Absolutely awesome view at Chicken Point,5.0 of 5 bubbles,"It is so popular because it is so stunning.  Put aside the Pink Jeeps and other 4x4 all terrain vehicles, this area is simply beautiful.  Especially around Chicken Point and Submarine Point.  Wear good hiking boots with great gripping soles.  Some areas can be slick."
Broken Arrow Trail,5.0,Absolutely gorgeous hikes and final view! ,5.0 of 5 bubbles,"This was a VERY nice hike! It was secluded and quite on the other side of mountain. We couldn’t hear any traffic or car noise. It’s an easy, straightforward hike, with great signage to follow. We went mid morning and the weather was perfect (some overcast and some sun). The views are beautiful in the canyon, we felt we were in small amount of forest. At the final point, chicken point, the view is stunning. It’s VERY windy there, so be sure to hold on to your hat. On our way out, we saw many, many bikers (apparently, it’s very popular). We liked the hike because it was quiet, secluded, non-commercialized, not so many people around! "
Broken Arrow Trail,5.0,Don’t Be a Chicken..take Broken Arrow to Chicken Point,5.0 of 5 bubbles,While we have hiked several trails in Sedona...we decided to take Broken Arrow to Submarine Rock to Chicken Point and back to the trail head of Broken Arrow.  
Broken Arrow Trail,5.0,Beautiful hike minus the jeeps,4.0 of 5 bubbles,"This was a beautiful trail that covered different types of terrain. We started at Broken Arrow trailhead and included the submarine, chicken point, High on the Hog and Twin Buttes. We explored a little in the area of chicken point and ended up w about 5 miles total."
Broken Arrow Trail,5.0,Best hike we did in Sedona,5.0 of 5 bubbles,Best hike we did in the area. Around each corner we saw jaw dropping views. From the parking lot to chicken point was a nice hike. Mostly easy terrain. A few areas we a bit more challenging as we had to work our way up some rocks. By sure to take the small output to submarine rock. It was well worth the short detour. My only complaint would be the noise from the Jeep tours. They are very close to the trail in a few points and the noise detracts from the wonderful surroundings.
Broken Arrow Trail,5.0,Great Hike,5.0 of 5 bubbles,"An option to Jeep tours is a hike that is not too difficult. The Broken Arrow trail is an easy hike, but you need to pay attention to which branch you hike. The parking lot is at the trail head, and there is no fee to park. If you take the left fork, you have to watch out for tour Jeeps and yo-yo's driving erratically, often blasting music, on Canams and other off-road vehicles. The right fork is for hikers and mountain bikers. For a bit more elevation, but not too difficult, suggest starting on The Broken Arrow Trail to the Twin Butte Trail, to the High on the Hog Trail, and then connecting back to the Broken Arrow Trail. Many photo opps. Trails are well marked with rock pylons encased in wire mesh. We did a Jeep tour earlier in the day to Mogollon Rim. That would have been a difficult hike, so Jeep tours are a good option as well."
Broken Arrow Trail,5.0,Wow……I didn’t know a Pink Jeep could go over such rough terrain!!,5.0 of 5 bubbles,This was the second time I have done the Broken Arrow Trail with Pink Jeep Tours.
Broken Arrow Trail,5.0,Easy hike great views,5.0 of 5 bubbles,"We started at the trailhead to hike to chicken point overlook about 1.3mi hike. Very enjoyable, small elevation gain hiked out to submarine rock than up to chicken point overlook. Many trails here, plus the jeep tours come out that way. Chicken point overlook is the destination for this hike. Awesome views of the wilderness and canyon.   "
Anhinga Trail,4.5,Park is great! But beware of car theft!,3.0 of 5 bubbles,"The park is beautiful, and the trail is beautiful. This was our second visit. The first visit was full of wild life in the spring. This last visit a week ago had only a couple gators, which could be due to recent hurricanes."
Anhinga Trail,4.5,Amazing!,5.0 of 5 bubbles,"Made a stop here on the way back to Miami to catch our flight home. So glad we stopped, this was one of the highlights of our trip to southern Florida! Saw 9 alligators right off the trail, lots of birds, fish, turtles, etc. Easy path and raised boardwalk. Restrooms available. It did cost $30 to enter the national park, but given the wildlife we saw, we felt it was worth it. Would highly recommended if you want to see alligators!"
Anhinga Trail,4.5,Fabulous Trail!,5.0 of 5 bubbles,"We arrived early on a Wednesday morning, about 8:30 before the visitor center was open.  The gates are open 24 hours. We had a lovely hour or two meandering the trail and taking photos of alligators, herons, anhinga, ducks, egrets,  gar and other fish, and lots more. There were other people there, but it was not crowded at all and great for taking pictures."
Anhinga Trail,4.5,"Beautiful, but over 80% less wildlife than I saw in the past.  **IMPORTANT UPDATE**",4.0 of 5 bubbles,***IMPORTANT UPDATE***
Anhinga Trail,4.5,Boardwalk provides a different perspective on the Everglades,5.0 of 5 bubbles,"We had enjoyed the excellent Shark Valley Tram Tour a few years ago, and visited here to see what it offered.  Good timing let us take a ranger-led walk along this short boardwalk trail.  The first visit was so good, we came back with friends a week later."
Anhinga Trail,4.5,BRING BINOCULARS.,3.0 of 5 bubbles,"I've read dozens of reviews that said this was THE trail to walk—that there were so many animals, it was almost Disneylike."
Anhinga Trail,4.5,January is a good time to visit,5.0 of 5 bubbles,"We loved our walk on the Anhinga trail. We were lucky that a park ranger was out about halfway, answering questions and helping point out wildlife. She also let folks use her binoculars, so if you have your own, I'd recommend bringing some; they definitely help. Yes, beware of vultures. There are some tarps at the visitor center right by the trail you can borrow to cover your car, but they are limited. "
Anhinga Trail,4.5,Where are all the gators and birds?,3.0 of 5 bubbles,"We have visited everglades natl park numerous times over the years.  There has always been an abundance of wildlife to see on the anhinga trail.   We went January 10 and 11 of this year and were disappointed by the lack of animals.  It would appear as though there had been some burning going on prior to our visit.  We saw only a few anhingas, a couple of gators.  In the past we would see a minimum of 20 gators and many more birds and fish.  Still a great spot, but I'm wondering where all the wildlife got to?"
Anhinga Trail,4.5,Anhinga Trail by day and night,5.0 of 5 bubbles,"Our first visit to the Anhinga Trail was on the Starlight Walk with Park Ranger Daniel. We had a great time exploring the park by starlight and flashlight. Daniel had great knowledge of the park and animals and lead a great tour. We saw a handful of alligators, tons of huge spiders (wear sneakers on this walk at night!), and a yellow Cuban tree frog.  There was a decent crowd the night we went but everyone was respectful and the only flashlight was the park rangers so that was nice. The stars were amazing! I highly recommend the starlight walk tour."
Anhinga Trail,4.5,Wildlife abounds!,5.0 of 5 bubbles,"Having spent a couple of hours on the Shark Valley tram the day before, we weren't sure we were willing to take the 45 minute stroll on the Anhinga Trail in the heat.  I am so glad that we did!  We saw so many birds and gators up close, much closer than we saw them in Shark Valley.  If you are going to do one thing in this area of the Everglades and are willing to take a short walk (all level trail), I would choose this over the Shark Valley tram tour."
Redwood National Park,5.0,Towering redwoods,5.0 of 5 bubbles,"This national park, in conjunction with three redwood state parks, is a UNESCO World heritage site because it contains some of the tallest and oldest trees in the world. Thomas Kuchel is the Visitor Center for this park, and it remains open during Covid, although for limited hours. We hiked Trillium Falls Trail, which is a fairly easy trail with good traction, and walked through LBJ grove. The rest of our time was spent at Prairie Creek Redwoods State Park to the north, which has a more extensive system of hiking trails. There were no fees to enter, and both parks were quiet on week days."
Redwood National Park,5.0,Majestic and incredible,5.0 of 5 bubbles,There are so many beautiful and amazing things about this National Park and its surrounding State Parks. There is just something indescribable about standing underneath the massive redwoods.
Redwood National Park,5.0,Amazing National Park with the Tallest Trees and so much More,5.0 of 5 bubbles,"It would be easy to simply think of Redwoods as a forest park, as we did hike in two groves with the tallest trees in the world but visiting it exposes that it is so much more.  It is meadows and mountains, creek valleys and shorelines.  It is unique wildlife like Roosevelt Elk and banana slugs as well as whales and sea lions.  It also is not just a National Park but 3 California State parks that protected groves 50 years before the NPS.  Finally it has incredible forest scenic drives but also amazing mountain overlooks.  "
Redwood National Park,5.0,Huge Beautiful Trees,5.0 of 5 bubbles,"The huge trees of Redwood National Park really blew me away. Before coming here, I had an idea of what to expect, but I did not know how much I'd love being next to trees that are hundreds of feet old and hundreds of feet high. Redwood National Park is also located next to the Pacific Ocean so besides the trees, it also includes beaches. When we went in mid May, it was very rainy, cool and had a bit of fog too. "
Redwood National Park,5.0,Gorgeous!,5.0 of 5 bubbles,Loved this park. What I always do when going to any national park is stop at the visitors center first. Tell the ranger how much time you have and what types of things you want to see and do and they will advise you on a plan of action. 
Redwood National Park,5.0,Awe-inspiring Nature,5.0 of 5 bubbles,"The Redwood Forest is so grand and magnificent it is hard not to be in awe. The trees alone are incredible, and the many trails and small info-stands all around the park make it a interesting and fun area to hike in. Definitely a place to go both with friends and family, no matter if you are a outdoorsy person or not. Truly a must see park!"
Redwood National Park,5.0,A FOREST OF MAJESTIC GIANTS,5.0 of 5 bubbles,"Some roads are intermittently closed, as are some viewpoints. I drove around and also walked a couple of the trails, spending about three hours here. Leashed dogs are allowed in some areas. Magnificent trees, many well over a thousand years old. There were other visitors but fewer than I expected. Walking around here was like being in another world. "
Redwood National Park,5.0,Redwoods and More!,5.0 of 5 bubbles,"What an amazing day we spent at Redwood National Park!  There is no way to adequately describe the beauty and splendor of this place.  We hiked through Lady Bird Johnson Grove in awe as we walked amongst these giant Coastal Redwoods.  Besides the trees, there were unusual bushes, lots of wildflowers and the occasional wildlife  - from our car, we were surprised to see a young black bear in the road, probably 300+ pounds, foraging for food. He was so surprised to see us that he froze long enough for us to get LOTS of photos.  What a treat and it made our trip to Redwood even more memorable!"
Redwood National Park,5.0,A Beautiful National/State Park,5.0 of 5 bubbles,"Beautiful and incredible all year around, but a winter visit was on the schedule this time.  The winter storm made it somewhat challenging, but were still able to largely get to most places.  Staff at the Visitor Centers were friendly and helpful - esp considering some of the weather related closures.  Bald Hills Road was exciting in 10+ inches of snow.  Lady Bird Johnson Grove was a wonderful walk, as were a number of other trails."
Redwood National Park,5.0,Once in a Lifetime,5.0 of 5 bubbles,My wife and I had went on a trip to California and one thing I requested was see the redwood forest. This was a bit out of the way for us as we hit Yosemite and San Francisco in this trip totally 1500 miles. IT WAS WORTH IT. The drive was to no where but the view was fantastic and when we arrived finally I didn’t have words. Going through the Avenue of Giants was great but does not compare to the redwood forests. Prairie Creek has the best trail and trees. True monsters. I won’t be coming back to California anytime soon as we take a big trip every 2 years somewhere new but I would highly recommended this no matter the distance.
Mariposa Grove of Giant Sequoias,4.5,Finally seeing the famous Sequoias!,5.0 of 5 bubbles,"What a wonderful day in Mariposa Grove. Being our first time in Yosemite we knew the Sequoias in Mariposa Grove would be the first site we wanted to see. The area was busy and parking was very packed. There is a shuttle service to the trailhead which is very necessary (without the shuttle you would have to take a very steep 2 mile hike just to get to the trailhead). There are various hikes you can take and obviously the shorter routes are much busier. Have an idea prior to your trip on what you want to see to better determine the route you want to take. Our family went further than a majority of the crowds and made our way to the Telescope Tree (very cool to actually go inside a Sequoia!). Our ""custom"" hike was just under 6 miles. Take breaks and plenty of water especially on a warm day!"
Mariposa Grove of Giant Sequoias,4.5,"Great views of the sequias, but take the long hike!",5.0 of 5 bubbles,"We loved our visit to the mariposa grove.  Outside of Muir Woods in CA, this was our first visit to a large grove and it was really breathtaking.  Most folks on tours or visiting only go on the shorter trail. Take the long trail and see the trees around the upper grove.  We would have hiked more, but missed a few shortcuts we could have taken on perimeter trails They could use some better maps to show how the short cuts will save you time, especially for folks that dont want longer hikes.  Fantastic views for us with fantastic weather!"
Mariposa Grove of Giant Sequoias,4.5,one of the best experiences of my life.,5.0 of 5 bubbles,"i am so very glad we got to experience this. my wife and I took our oldest here for her graduation present and it was such a great experience.  we came july 2020 during the coronavirus upheaval and couldn't get a day entry pass so we took the YARTS bus into the park and it dropped us of right at the grove parking lot, which is literally right next to the park entrance. we got there as early as the YARTS bus could get us there, so we arrived at the mariposa grove parking area/bus stop at 830am. since they aren't running the park shuttles we walked the trail from the parking area to the grove.  there was barely anyone else around, only maybe 10-20 cars in the parking lot.  we are very active people so the hike to the grove on the trail wasn't difficult and took us about 45 minutes to cover the 2 miles. once we got to the grove (I want you to listen carefully to me here), it was one of the greatest experiences of my life.  there was basically no one there.  i counted 11 other people  the entire time we were walking around the grove. it felt like we had it to ourselves and i felt so honored to have gotten that experience.  i have never had that feeling in nature before.  the trees are absolute giants and it was so cool to see them.  we sat for 15 minutes on the benches at/under the grizzly giant and just absorbed how large and awesome it is and didn't see another person the whole time we sat there.     we walked the rest of the Grizzly Giant Loop Trail and it was just as excellent as anyone could ever ask for.  we didn't rush ourselves and we spent a comfortable amount of time in the grove and enjoyed ourselves there.  we made it back to the grove parking area to catch the YARTS bus back out of the parking area about 1230 or so.  since we didn't know how long it would take us to get to the grove, we were hiking with a good bit of hustle, but were able to take our time in the grove and on the hike back to the parking area.  awesome experience, highly recommend.  if you decided to take the trail from the parking area to the grove, your shoes and lower legs are going to be absolutely covered in dust.  my wife and daughter used the time before the bus came one we got back to the parking area to wash their legs.  being the caveman that i am i chose to just stew in my grime."
Mariposa Grove of Giant Sequoias,4.5,A L E R T  the   P U B L I C  >>> N P S,2.0 of 5 bubbles,"Rangers were wrong. TIP: Read these 2021 posts people. No family should need to walk 6 miles to see these trees. I saw toddlers, little dogs and the elderly all on their near death hike to the trees during the heatwave. Many never made it. What a National Park Service (NPS) mistake this is! The Rangers are set up on wrong side of the visitor center. The public unknowingly walks to the trailhead without NPS input. You'd think someone is charge would step up. The Shuttles are not running. The New Visitor Center is now 2 miles away from the old Center so everyone with outdated guide books is ill prepared. Plan to see sequoias elsewhere."
Mariposa Grove of Giant Sequoias,4.5,Mariposa Grove - Yosemite,4.0 of 5 bubbles,"Since they have renovated and upgraded the area it's quite a place to visit! I visited in June and the grove is located  1hr south of Yosemite valley on hwy 41. After parking in a fairly large lot, you can either go to the store or jump on one of the buses that will drive  ( at no cost, since it's still in Yosemite) you to Mariposa Grove.  Once there you can wander at your own speed and take the various wide circuitous paths around the area. The trees are magnificent and are truly big! Some of their branches as bid as a normal tree!  If you want to see big Sequoias without the crowds this is the park in my opinion.  Buses were full but available."
Mariposa Grove of Giant Sequoias,4.5,Post Washburn Fire visit,5.0 of 5 bubbles,"We shuttled up early in the morning to avoid the heat of the day.  The Mariposa Grove shuttle driver clearly explained where to get off the shuttle and where to get back on.  I noticed that the line to get back on the shuttle to head down has been updated with ropes to keep folks organized; when we visited in June, getting on the shuttle was just a pushy free-for-all. The return ride was about a 30 minute wait to board a shuttle.  Midweek, late Sept."
