Name,Coords,Distance,Avg time,Climb,Descent,Activities,Riding Area,Difficulty Rating,Local Popularity,Altitude start,Altitude end,Grade
#1 / #2 Connector (West),"(37.717830, -122.418290)",302 ft,NA,17 ft,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,5 in Mountain Biking [+],385 ft,404 ft,5.6%
#1 / #3 Connector,"(37.718850, -122.417430)",121 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,5 in Mountain Biking [+],411 ft,410 ft,-1.4%
#1 / #3 Connector,"(37.742880, -122.411960)",190 ft,NA,NA,-16 ft,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,5 in Mountain Biking [+],372 ft,358 ft,-8.3%
#1 / Dublin to Brookdale Connector,"(37.714360, -122.426420)",194 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,25 in Mountain Biking [+],290 ft,289 ft,NA
#1 / Dublin to Brookdale Connector (East),"(37.713460, -122.425780)",115 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,25 in Mountain Biking [+],308 ft,308 ft,0.9%
#1 Access,"(37.719270, -122.419020)",210 ft,NA,NA,-3 ft,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,45 in Mountain Biking [+],424 ft,420 ft,-1.4%
#1 Access (North),"(37.711390, -122.423540)",95 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,30 in Mountain Biking [+],280 ft,279 ft,NA
#1 Access (via Sunnydale Ave),"(37.714200, -122.425800)",262 ft,00:00:10,NA,-12 ft,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,45 in Mountain Biking [+],281 ft,269 ft,-4.6%
#1 Connector,"(37.792300, -122.427670)",59 ft,NA,NA,NA,Hike Trail Running,"San Francisco
, California",Green rate,5 in Hiking [+],364 ft,364 ft,NA
#1 Connector,"(37.743150, -122.413010)",144 ft,NA,38 ft,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,5 in Mountain Biking [+],323 ft,361 ft,26.9%
#1 Connector (via Middle School Access),"(37.716880, -122.415720)",574 ft,00:00:59,37 ft,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,65 in Mountain Biking [+],328 ft,364 ft,6.4%
#1 North Fork,"(37.722630, -122.422340)",33 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,5 in Mountain Biking [+],425 ft,427 ft,NA
#1 West Access,"(37.717920, -122.413530)",89 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,30 in Mountain Biking [+],375 ft,374 ft,NA
#13 Connector,"(37.764580, -122.509490)",184 ft,00:00:14,NA,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,65 in Mountain Biking [+],34 ft,36 ft,0.5%
#17 Loop,"(37.720850, -122.421170)",427 ft,00:00:59,6 ft,-26 ft,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,50 in Mountain Biking [+],440 ft,420 ft,-4.7%
#2 / #3 Connector,"(37.766770, -122.488250)",210 ft,00:00:09,NA,-3 ft,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,45 in Mountain Biking [+],176 ft,174 ft,-1.2%
#2 / #3 Connector (North),"(37.766800, -122.487880)",62 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,30 in Mountain Biking [+],176 ft,177 ft,NA
#2 / #4 Connector,"(37.718730, -122.415870)",118 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,5 in Mountain Biking [+],384 ft,384 ft,NA
#2 Access,"(37.742920, -122.416270)",102 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,5 in Mountain Biking [+],410 ft,410 ft,NA
#2 Loop,"(37.717860, -122.415740)",535 ft,00:00:51,NA,-6 ft,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,70 in Mountain Biking [+],425 ft,417 ft,-1.4%
#3 #3,"(40.711190, -122.441130)",5.9 miles,00:51:35,"1,173 ft",-803 ft,ATV/ORV/OHV Mountain Bike E-Bike Hike Dirtbike/Moto,"BLM Chappie - Shasta OHV
Redding, California",Green rate,30 in Mountain Biking [+],641 ft,"1,014 ft",1.2%
#3 / #4 Connector,"(37.767760, -122.487300)",148 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,5 in Mountain Biking [+],188 ft,187 ft,NA
#3 / #4 Connector,"(37.719020, -122.417090)",262 ft,00:00:12,NA,-5 ft,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,35 in Mountain Biking [+],382 ft,377 ft,-1.8%
#3 / #9 Cutoff,"(37.766260, -122.490450)",135 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,5 in Mountain Biking [+],168 ft,167 ft,-1.2%
#3 Access,"(37.713350, -122.427470)",203 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,35 in Mountain Biking [+],242 ft,246 ft,1%
#3 Bench Climb,"(34.062730, -117.078690)",581 ft,00:02:27,52 ft,NA,Mountain Bike E-Bike Hike Trail Running,"Crafton Hills
Yucaipa, California",Black Diamond rate,30 in Mountain Biking [+],"3,085 ft","3,136 ft",8.9%
#3 Loop,"(37.791800, -122.428740)",115 ft,NA,NA,NA,Hike Trail Running,"San Francisco
, California",Green rate,5 in Hiking [+],349 ft,351 ft,1.4%
#4 / Amphitheater Trail Connector,"(37.719360, -122.416340)",262 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,5 in Mountain Biking [+],344 ft,344 ft,NA
#5 Access,"(37.766970, -122.490510)",364 ft,00:01:27,3 ft,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,55 in Mountain Biking [+],171 ft,174 ft,1.3%
#7 #7,"(40.700000, -122.452440)",1.3 miles,00:08:17,464 ft,-136 ft,Dirtbike/Moto Mountain Bike E-Bike Hike ATV/ORV/OHV,"BLM Chappie - Shasta OHV
Redding, California",Blue rate,20 in Mountain Biking [+],728 ft,"1,056 ft",4.7%
#7 / #8 Cutoff,"(37.766070, -122.504610)",135 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,5 in Mountain Biking [+],95 ft,95 ft,NA
#7 Connector,"(37.765330, -122.502800)",125 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,20 in Mountain Biking [+],95 ft,98 ft,1.6%
.6 mile streak,"(38.571690, -122.422090)","3,333 ft",00:07:46,79 ft,-37 ft,Mountain Bike Hike Trail Running,"Pacific Union College Forest
Angwin, California",Blue rate,75 in Mountain Biking [+],"1,764 ft","1,808 ft",1.3%
007 (Fifth Tie In),"(37.354080, -119.482850)","1,709 ft",00:08:16,189 ft,NA,Mountain Bike Hike Trail Running,"Bass Lake
, California",Black Diamond rate,55 in Mountain Biking [+],"5,671 ft","5,860 ft",11.1%
007 (Fifth),"(37.357029, -119.482219)","3,822 ft",00:12:24,NA,-328 ft,Mountain Bike Hike Trail Running,"Bass Lake
, California",Black Diamond rate,60 in Mountain Biking [+],"5,871 ft","5,541 ft",-8.6%
007 (Fourth Tie In),"(37.338180, -119.488760)",656 ft,00:02:39,91 ft,NA,Mountain Bike Hike Trail Running,"Bass Lake
, California",Blue rate,55 in Mountain Biking [+],"5,351 ft","5,443 ft",14.1%
007 (Fourth),"(37.350110, -119.487820)",2.5 miles,00:35:20,316 ft,-510 ft,Mountain Bike Hike Trail Running,"Bass Lake
, California",Blue rate,60 in Mountain Biking [+],"5,546 ft","5,351 ft",-1.5%
007 (Second),"(37.309570, -119.507830)",1.0 mile,00:06:07,NA,-429 ft,Mountain Bike Hike Trail Running,"Bass Lake
, California",Black Diamond rate,100 in Mountain Biking [+],"4,886 ft","4,455 ft",-8.1%
007 (Third),"(37.325644, -119.505243)",1.4 miles,00:22:55,88 ft,-494 ft,Mountain Bike Hike Trail Running,"Bass Lake
, California",Black Diamond rate,100 in Mountain Biking [+],"5,348 ft","4,944 ft",-5.4%
0331,"(39.783090, -120.608090)","1,404 ft",NA,NA,-175 ft,Mountain Bike E-Bike Hike Trail Running,"Everstoke
Blairsden, California",Blue rate,65 in Mountain Biking [+],"4,697 ft","4,521 ft",-12.5%
04's,"(33.445930, -117.573970)","4,085 ft",00:04:41,212 ft,-19 ft,Mountain Bike Hike Trail Running,"Dog Park
San Clemente, California",Green rate,40 in Mountain Biking [+],191 ft,384 ft,4.7%
06-08 East Moto Trail,"(39.275810, -120.184436)","2,382 ft",00:03:19,64 ft,-143 ft,Dirtbike/Moto Mountain Bike E-Bike Horse Hike Trail Running,"Sawtooth
Truckee, California",Blue rate,60 in Mountain Biking [+],"6,342 ft","6,264 ft",-3.293%
1-1 Climb,"(34.163260, -117.639150)","3,688 ft",00:13:19,492 ft,-72 ft,Mountain Bike Hike Trail Running,"Rancho Cucamonga
, California",Blue rate,25 in Mountain Biking [+],"2,222 ft","2,642 ft",11.395%
1-4,"(38.872190, -120.714040)",3.0 miles,00:30:24,311 ft,-615 ft,Mountain Bike E-Bike Horse Hike Trail Running Dirtbike/Moto,"Rock Creek OHV
Georgetown, California",Black Diamond rate,35 in Mountain Biking [+],"3,280 ft","2,976 ft",-1.9%
10 Bridges,"(40.585470, -122.430300)","3,609 ft",00:03:54,21 ft,-176 ft,Mountain Bike Hike Trail Running,"Sacramento River Trails
Redding, California",Green rate,100 in Mountain Biking [+],671 ft,515 ft,-4.3%
10 Lakes Trail,"(37.852200, -119.575990)",5.9 miles,NA,"2,197 ft",-750 ft,Hike Horse Trail Running,"Yosemite National Park
Yosemite, California",Blue rate,75 in Hiking [+],"7,501 ft","8,947 ft",4.7%
1000 Island Lake Trail,"(37.728520, -119.171280)","3,694 ft",NA,76 ft,-60 ft,Hike Horse Trail Running,"Ansel Adams Wilderness
Mammoth Lakes, California",Blue rate,90 in Hiking [+],"9,846 ft","9,862 ft",0.5%
105,"(34.609490, -118.226420)","2,385 ft",00:03:06,3 ft,-358 ft,Mountain Bike Hike Trail Running,"P-12 (Rancho, aka Antelope Valley Trails)
Palmdale, California",Black Diamond rate,40 in Mountain Biking [+],"3,368 ft","3,012 ft",-15%
108 Drop,"(38.079610, -120.164110)","4,826 ft",00:11:42,24 ft,-203 ft,Mountain Bike Hike Trail Running,"Lyons Reservoir
sierra village, California",Blue rate,50 in Mountain Biking [+],"4,878 ft","4,701 ft",-3.7%
10th Avenue & Fulton Play Area Loop (North),"(37.773330, -122.467580)",420 ft,00:01:11,NA,-3 ft,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,75 in Mountain Biking [+],232 ft,233 ft,-0.2%
10th Avenue & Fulton Play Area Loop (South),"(37.772650, -122.467980)",686 ft,00:01:04,6 ft,-10 ft,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,90 in Mountain Biking [+],239 ft,236 ft,-0.3%
10th Avenue Access (East),"(37.773280, -122.468050)",279 ft,00:00:33,7 ft,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,90 in Mountain Biking [+],234 ft,240 ft,2.4%
10th Avenue Access (West),"(37.773310, -122.468080)",354 ft,00:00:20,7 ft,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,85 in Mountain Biking [+],234 ft,243 ft,2.4%
11E35 Sellier (Tie 3-3),"(39.099910, -120.745210)",1.0 mile,00:04:54,195 ft,-49 ft,Dirtbike/Moto Mountain Bike E-Bike Hike Trail Running,"Foresthill OHV Area
Foresthill, California",Blue rate,95 in Mountain Biking [+],"4,157 ft","4,304 ft",2.7%
"11E41 Mountain Chief (Loop 3, Main branch)","(39.089960, -120.745660)",2.5 miles,00:08:11,490 ft,-465 ft,Dirtbike/Moto Mountain Bike E-Bike Hike Trail Running,"Foresthill OHV Area
Foresthill, California",Blue rate,60 in Mountain Biking [+],"4,136 ft","4,160 ft",0.2%
11E45,"(38.924770, -120.746420)","4,304 ft",NA,144 ft,-128 ft,Mountain Bike E-Bike Horse Hike Trail Running,"Rock Creek OHV
Georgetown, California",Blue rate,5 in Mountain Biking [+],"3,182 ft","3,202 ft",0.4%
11W03,"(40.098160, -123.008973)",10.4 miles,NA,"2,191 ft","-2,929 ft",Hike Trail Running,"Yolla Bolly-Middle Eel Wilderness
Ruth, California",Green rate,5 in Hiking [+],"5,966 ft","5,226 ft",-1.3%
11W04.1,"(40.099047, -123.116518)",9.6 miles,NA,"2,842 ft","-2,572 ft",Hike Trail Running,"Yolla Bolly-Middle Eel Wilderness
Ruth, California",Green rate,5 in Hiking [+],"4,677 ft","4,948 ft",0.5%
11W35,"(40.116541, -123.063153)",3.0 miles,NA,411 ft,-846 ft,Hike Trail Running,"Yolla Bolly-Middle Eel Wilderness
Ruth, California",Green rate,5 in Hiking [+],"6,123 ft","5,689 ft",-2.7%
11W36.1,"(40.039406, -123.096627)",3.6 miles,NA,783 ft,-197 ft,Hike Trail Running,"Yolla Bolly-Middle Eel Wilderness
Ruth, California",Green rate,5 in Hiking [+],"4,902 ft","5,489 ft",3.1%
11W41 Mountain Chief (Loop 3),"(39.085350, -120.743510)",1.5 miles,00:05:19,258 ft,-263 ft,Dirtbike/Moto Mountain Bike E-Bike Hike Trail Running,"Foresthill OHV Area
Foresthill, California",Blue rate,80 in Mountain Biking [+],"4,095 ft","4,091 ft",-0.1%
12N31A Connector,"(38.894450, -120.026740)",211 ft,00:00:43,5 ft,-9 ft,Mountain Bike Hike Trail Running,"Tahoe Mountain
South Lake Tahoe, California",Blue rate,70 in Mountain Biking [+],"6,473 ft","6,469 ft",-1.979%
14 #14,"(40.720020, -122.462000)",1.2 miles,00:06:17,303 ft,-438 ft,Mountain Bike Hike Trail Running Dirtbike/Moto ATV/ORV/OHV,"BLM Chappie - Shasta OHV
Redding, California",Blue rate,25 in Mountain Biking [+],"1,594 ft","1,459 ft",-2.189%
15th Street Public Bike Path,"(38.922970, -120.020690)",3.6 miles,00:38:38,72 ft,-40 ft,Mountain Bike Hike Trail Running,"Fallen Leaf
South Lake Tahoe, California",White rate,80 in Mountain Biking [+],"6,258 ft","6,289 ft",0.2%
16 Acre Forest Loop (East),"(39.337700, -120.112950)","1,562 ft",00:04:09,66 ft,-3 ft,Mountain Bike Horse Hike Trail Running,"16 Acre Forest
Truckee, California",Green rate,70 in Mountain Biking [+],"5,995 ft","6,060 ft",4%
16 Acre Forest Loop (West),"(39.341410, -120.114440)","1,634 ft",00:01:34,19 ft,-71 ft,Mountain Bike Horse Hike Trail Running,"16 Acre Forest
Truckee, California",Blue rate,50 in Mountain Biking [+],"6,038 ft","5,984 ft",-3.2%
16 Acre Forest Trailhead,"(39.344620, -120.114500)","1,243 ft",00:01:06,3 ft,-60 ft,Mountain Bike Horse Hike Trail Running,"16 Acre Forest
Truckee, California",Green rate,85 in Mountain Biking [+],"6,101 ft","6,043 ft",-4.6%
1644 Trail,"(37.801990, -122.477810)",486 ft,00:00:30,5 ft,NA,Hike Trail Running,"San Francisco
, California",Green rate,95 in Hiking [+],266 ft,269 ft,0.7%
1700's Parking Access,"(37.790710, -122.480290)",978 ft,NA,58 ft,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,5 in Mountain Biking [+],133 ft,194 ft,6.1%
18E37R Alternate I,"(38.915116, -119.978197)",1.3 miles,NA,4 ft,-10 ft,Mountain Bike Horse Hike Trail Running,"Hartoonian Trails
South Lake Tahoe, California",Green rate,5 in Mountain Biking [+],"6,302 ft","6,295 ft",-0.101%
18E37R Alternate II,"(38.915738, -119.977232)",1.3 miles,NA,2 ft,-30 ft,Mountain Bike Horse Hike Trail Running,"Hartoonian Trails
South Lake Tahoe, California",Green rate,5 in Mountain Biking [+],"6,300 ft","6,271 ft",-0.412%
19 Oaks,"(34.564130, -119.748220)",1.6 miles,00:17:43,NA,-750 ft,Mountain Bike Hike Trail Running,"Santa Barbara
, California",Black Diamond rate,70 in Mountain Biking [+],"2,382 ft","1,631 ft",-9.1%
1F,"(38.779060, -121.045560)",584 ft,00:01:24,18 ft,NA,Mountain Bike Hike Trail Running,"Salmon Falls Ranch
El Dorado Hills, California",Green rate,100 in Mountain Biking [+],517 ft,535 ft,3%
2 Beavers & a Bear,"(39.273930, -120.187109)","4,126 ft",00:07:26,81 ft,-191 ft,Mountain Bike Hike Trail Running,"Sawtooth
Truckee, California",Blue rate,80 in Mountain Biking [+],"6,279 ft","6,169 ft",-2.659%
2 Bridges,"(39.269030, -120.172298)",1.3 miles,00:13:08,227 ft,-236 ft,Mountain Bike Hike Trail Running,"Sawtooth
Truckee, California",Blue rate,70 in Mountain Biking [+],"6,244 ft","6,236 ft",-0.12%
2 Bridges Connector,"(39.271530, -120.173661)",974 ft,00:01:23,30 ft,-10 ft,Mountain Bike Hike Trail Running,"Sawtooth
Truckee, California",Blue rate,70 in Mountain Biking [+],"6,223 ft","6,242 ft",2.035%
2 Monkey's,"(33.813280, -117.629600)",1.5 miles,00:12:34,15 ft,"-1,111 ft",Mountain Bike Hike Trail Running,"Corona
, California",Black Diamond rate,55 in Mountain Biking [+],"3,094 ft","1,998 ft",-14.2%
20 Lakes Basin Loop #2402,"(37.981180, -119.286460)",4.1 miles,NA,557 ft,-568 ft,Hike Horse Trail Running,"Bridgeport
, California",Blue rate,80 in Hiking [+],"10,138 ft","10,125 ft",-0.1%
23E277 #23E277,"(37.342930, -119.444080)","3,862 ft",00:06:14,NA,-282 ft,Dirtbike/Moto Mountain Bike E-Bike Hike Trail Running,"Bass Lake
, California",Black Diamond rate,55 in Mountain Biking [+],"7,053 ft","6,772 ft",-7.3%
25 days #1,"(33.466550, -117.614750)","3,294 ft",00:04:09,3 ft,-126 ft,Mountain Bike E-Bike Hike Trail Running,"Dog Park
San Clemente, California",Blue rate,30 in Mountain Biking [+],604 ft,479 ft,-3.8%
25th Avenue Entrance,"(37.772440, -122.484370)",197 ft,00:01:24,NA,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,20 in Mountain Biking [+],177 ft,177 ft,NA
25th Avenue North Stairs,"(37.790340, -122.485100)",243 ft,00:01:15,29 ft,NA,Hike Trail Running,"The Presidio of San Francisco
San Francisco, California",Green rate,85 in Hiking [+],28 ft,56 ft,12%
25th Avenue Trail,"(37.765060, -122.483800)",735 ft,00:00:37,NA,-13 ft,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,80 in Mountain Biking [+],197 ft,184 ft,-1.9%
26th Avenue Entrance,"(37.772520, -122.485280)",302 ft,00:00:41,NA,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,55 in Mountain Biking [+],172 ft,171 ft,NA
26th Avenue Entrance (South),"(37.765170, -122.484780)",200 ft,NA,7 ft,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,30 in Mountain Biking [+],200 ft,207 ft,3.3%
27th Avenue Entrance,"(37.765120, -122.485850)",266 ft,00:00:11,NA,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,40 in Mountain Biking [+],205 ft,207 ft,NA
2814 Peak Trail,"(38.497200, -119.794440)",1.3 miles,NA,603 ft,-78 ft,Hike Trail Running,"Stanislaus National Forest
Sonora, California",Blue rate,5 in Hiking [+],"8,618 ft","9,144 ft",7.4%
28th Avenue Entrance,"(37.765080, -122.486770)",230 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,5 in Mountain Biking [+],194 ft,194 ft,NA
28th Avenue Entrance (East Fork),"(37.765310, -122.486810)",223 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,35 in Mountain Biking [+],201 ft,200 ft,NA
29th Avenue Entrance (South),"(37.764930, -122.488090)",223 ft,NA,NA,-5 ft,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,5 in Mountain Biking [+],186 ft,180 ft,-2%
2nd Avenue Entrance,"(37.774200, -122.459390)",141 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,5 in Mountain Biking [+],236 ft,236 ft,NA
2nd Chance,"(39.457530, -123.433100)","1,801 ft",00:04:47,16 ft,-267 ft,Mountain Bike Hike Trail Running,"Brooktrails Greenbelt
Willits, California",Black Diamond rate,5 in Mountain Biking [+],"2,297 ft","2,044 ft",-13.9%
3 Ponds Trail,"(38.970080, -122.385940)",3.2 miles,NA,171 ft,-725 ft,Mountain Bike E-Bike Hike Trail Running,"California
Clearlake, California",Blue rate,5 in Mountain Biking [+],"1,586 ft","1,030 ft",-3.3%
3 Post,"(39.365870, -123.752081)","1,135 ft",00:03:09,163 ft,NA,Mountain Bike Hike Trail Running,"Jackson Demonstration State Forest
Mendocino, California",Blue rate,65 in Mountain Biking [+],613 ft,777 ft,14.39%
3-Mile Trail,"(34.132060, -118.300920)",1.3 miles,00:30:36,353 ft,-113 ft,"Horse Hike Trail Running
Mountain Biking not recommended or allowed.","Griffith Park
Glendale, California",Green rate,NA,"1,332 ft","1,572 ft",3.4%
31st Avenue Entrance (South),"(37.764930, -122.490240)",187 ft,NA,NA,-2 ft,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,5 in Mountain Biking [+],163 ft,161 ft,-1.2%
32e305 (Aspen Drop),"(37.236190, -118.488400)",7.5 miles,NA,87 ft,-972 ft,Mountain Bike Hike Trail Running,"Bishop
, California",Blue rate,5 in Mountain Biking [+],"9,562 ft","8,677 ft",-2.235%
32nd Avenue Entrance (South),"(37.764880, -122.491210)",226 ft,NA,NA,-8 ft,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,30 in Mountain Biking [+],159 ft,151 ft,-3.5%
33rd Avenue Access,"(37.772180, -122.492870)",135 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,35 in Mountain Biking [+],134 ft,135 ft,NA
34th Avenue Entrance,"(37.772130, -122.493980)",151 ft,NA,4 ft,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,5 in Mountain Biking [+],127 ft,131 ft,3%
35E310,"(37.279860, -118.172710)","2,602 ft",00:12:48,5 ft,-227 ft,Mountain Bike Hike Trail Running,"Bishop
, California",Blue rate,60 in Mountain Biking [+],"7,862 ft","7,640 ft",-8.548%
36th Avenue Trail (West),"(37.770070, -122.495440)",771 ft,00:00:40,6 ft,-3 ft,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,95 in Mountain Biking [+],127 ft,128 ft,0.1%
38 Special,"(34.071710, -117.049969)",1.2 miles,00:16:35,602 ft,-18 ft,Mountain Bike Hike Trail Running,"Crafton Hills
Yucaipa, California",Blue rate,70 in Mountain Biking [+],"2,666 ft","3,250 ft",9.279%
39th Avenue Entrance,"(37.771890, -122.499300)",230 ft,NA,3 ft,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,30 in Mountain Biking [+],113 ft,115 ft,1.3%
3M Trail,"(33.917030, -117.688620)",1.7 miles,00:11:37,18 ft,-565 ft,Mountain Bike Hike Trail Running,"Chino Hills State Park
Chino, California",Blue rate,80 in Mountain Biking [+],"1,134 ft",587 ft,-6.1%
3rd Tower Climb,"(34.967490, -117.915400)",1.3 miles,00:10:10,165 ft,-31 ft,Mountain Bike Hike Trail Running,"Edwards AFB Trails
Rosamond, California",Green rate,95 in Mountain Biking [+],"2,537 ft","2,672 ft",2.026%
4 Palms,"(32.634780, -117.046220)",1.0 mile,00:10:41,64 ft,-150 ft,Mountain Bike E-Bike Hike Trail Running,"Chula Vista Canyon Trails
Chula Vista, California",Blue rate,90 in Mountain Biking [+],306 ft,220 ft,-1.6%
40th Avenue Access,"(37.781280, -122.501080)",118 ft,NA,9 ft,NA,Hike Trail Running,"San Francisco
, California",Green rate,5 in Hiking [+],333 ft,341 ft,7.6%
41st Avenue Entrance,"(37.764450, -122.500960)",489 ft,00:01:55,NA,NA,Mountain Bike Hike Trail Running,"Golden Gate Park
San Francisco, California",Green rate,90 in Mountain Biking [+],94 ft,95 ft,0.2%
420,"(39.779260, -121.758600)","1,690 ft",00:02:00,NA,-201 ft,Mountain Bike E-Bike Hike Trail Running,"Upper Bidwell Park
Chico, California",Blue rate,70 in Mountain Biking [+],589 ft,387 ft,-11.9%
428,"(37.931050, -122.645530)",1.9 miles,00:24:50,6 ft,"-1,610 ft",Hike,"Tamarancho / West Marin / North Tam
Fairfax, California",Black Diamond rate,30 in Hiking,"1,642 ft",39 ft,-15.6%
44 Camp Trail,"(41.214210, -124.008950)",2.0 miles,NA,778 ft,-16 ft,Hike Horse Trail Running,"Redwood National Park South
Orick, California",Blue rate,5 in Hiking [+],208 ft,968 ft,7.1%
44 Creek Loop,"(41.229250, -124.030620)",2.4 miles,NA,523 ft,-487 ft,Horse Hike Trail Running,"Redwood National Park South
Orick, California",Blue rate,5 in Horseback [+],670 ft,705 ft,0.3%
